hospital_name,last_updated_on,hospital_address,description,payer_name,plan_name,estimated_amount,standard_charge|min,standard_charge|max
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Neurological eye disorders,Fidelis,Medicaid,15295.02,13577.29,15295.02
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Other Disorders of the Eye Age 0-17,Metroplus,Medicaid,14266.97,14266.97,14266.97
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Major Head & Neck Procedures,Amida Care,Medicaid,36510.12,36510.12,36510.12
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Spinal Disorders And Injuries Without Cc/Mcc,Amida Care,Medicaid,9407.36,9407.36,9407.36
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Nervous System Neoplasms Without Mcc,Empire,Ppo,4294,4294,4294
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Degenerative Nervous System Disorders Without Mcc,Empire,Medicare Advantage,13011.12,10075,13400.54
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Multiple Sclerosis And Cerebellar Ataxia With Mcc,Healthfirst,Medicaid,3432.96,3432.96,3432.96
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Multiple Sclerosis And Cerebellar Ataxia With Cc,Aetna,Commercial,11351.09,11351.09,33296
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Multiple Sclerosis And Cerebellar Ataxia Without Cc/Mcc,Empire,Ppo,24668,24668,24668
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Intracranial Hemorrhage Or Cerebral Infarction With Mcc,1199 Seiu,Commercial,12712.11,4294,18782.2
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Intracranial Hemorrhage Or Cerebral Infarction With Cc Or Tpa In 24 Hours,Healthfirst,Medicare Advantage,1960,1417.5,10036.94
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Precerebral Occlusion Without Infarction Without Mcc,Emblem,Medicare Advantage,8800.81,8800.81,8800.81
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Transient Ischemia Without Thrombolytic,Healthfirst,Medicare Advantage,7445.65,7445.65,7445.65
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Other Cerebrovascular Disorders With Mcc,Aetna,Medicare Advantage,7593.25,7593.25,7593.25
